Year,Quarter,Origin City,Origin State,Destination City,Destination State,Passengers,MktFare,MktDistance,MktMilesFlown,Price Per Person (USD),Route,Is_Group,Fare_per_Mile,Log_Price_Per_Person,Route_Count,Route_Mean,Airline Code_AS,Airline Code_B6,Airline Code_DL,Airline Code_F9,Airline Code_UA,Airline Code_WN,Dist_Med,Dist_Long,Dist_XL,Predicted Price Per Person (USD)
2024,3,San Francisco,CA,Honolulu,HI,1,966,2398,2398,966,San Francisco–Honolulu,0,0.4028356964,6.874198495,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,973,2398,2398,973,San Francisco–Honolulu,0,0.4057547957,6.881411304,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,7,976,2398,2398,139.4285714,San Francisco–Honolulu,1,0.05814369117,4.944698971,3388,389.4728459,0,0,0,0,1,0,0,1,0,81.01748891
2024,3,San Francisco,CA,Honolulu,HI,2,978,2398,2398,489,San Francisco–Honolulu,1,0.2039199333,6.194405391,3388,389.4728459,0,0,0,0,1,0,0,1,0,184.0232892
2024,3,San Francisco,CA,Honolulu,HI,1,980,2398,2398,980,San Francisco–Honolulu,0,0.4086738949,6.88857246,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,983,2398,2398,983,San Francisco–Honolulu,0,0.4099249374,6.891625897,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,998,2398,2398,998,San Francisco–Honolulu,0,0.4161801501,6.906754779,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,2,1288,2398,2398,644,San Francisco–Honolulu,1,0.2685571309,6.469250317,3388,389.4728459,0,0,0,0,1,0,0,1,0,184.0232892
2024,3,San Francisco,CA,Honolulu,HI,1,267.87,2398,2398,267.87,San Francisco–Honolulu,0,0.111705588,5.594227991,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,248.69,2398,2398,248.69,San Francisco–Honolulu,0,0.103707256,5.520220148,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,297.18,2398,2398,297.18,San Francisco–Honolulu,0,0.1239282736,5.697697331,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,299.46,2398,2398,299.46,San Francisco–Honolulu,0,0.1248790659,5.705314634,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,156.01,2398,2398,156.01,San Francisco–Honolulu,0,0.06505838198,5.056309498,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,194.26,2398,2398,194.26,San Francisco–Honolulu,0,0.08100917431,5.274332004,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,211.87,2398,2398,211.87,San Francisco–Honolulu,0,0.08835279399,5.360681651,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,222.94,2398,2398,222.94,San Francisco–Honolulu,0,0.09296914095,5.411378159,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,218.49,2398,2398,218.49,San Francisco–Honolulu,0,0.09111342786,5.391306673,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
2024,3,San Francisco,CA,Honolulu,HI,1,257.67,2398,2398,257.67,San Francisco–Honolulu,0,0.1074520434,5.555553118,3388,389.4728459,0,0,0,0,1,0,0,1,0,446.7650287
